production_budget,worldwide_gross,title_year,aspect_ratio,duration.1,cast_total_facebook_likes,budget,imdb_score
150000000.0,402231063.0,2009.0,2.35,105.0,54039.0,150000000.0,5.9
150000000.0,664837547.0,2011.0,2.35,90.0,21015.0,150000000.0,7.3
150000000.0,373136354.0,2015.0,2.35,120.0,40025.0,150000000.0,8.1
150000000.0,427289109.0,2003.0,2.35,129.0,1062.0,150000000.0,6.7
150000000.0,397501348.0,2006.0,2.35,124.0,34817.0,150000000.0,6.9
150000000.0,490875846.0,2009.0,2.35,146.0,16948.0,150000000.0,6.7
150000000.0,319713881.0,2010.0,2.35,103.0,2857.0,150000000.0,4.2
150000000.0,287594577.0,2007.0,1.85,91.0,6576.0,150000000.0,6.2
150000000.0,292817841.0,2009.0,2.35,88.0,2217.0,150000000.0,5.1
150000000.0,194995215.0,2007.0,2.35,115.0,31523.0,150000000.0,6.3
150000000.0,238202668.0,2012.0,1.85,113.0,80849.0,100000000.0,6.2
150000000.0,205440387.0,2013.0,2.35,131.0,18204.0,150000000.0,6.4
150000000.0,142634358.0,2010.0,1.85,119.0,13071.0,150000000.0,5.8
150000000.0,39549758.0,2011.0,2.35,88.0,2652.0,150000000.0,5.4
149000000.0,179357126.0,2006.0,1.85,85.0,35161.0,149000000.0,6.7
145000000.0,746921271.0,2012.0,1.85,93.0,2444.0,145000000.0,6.9
145000000.0,694713230.0,2011.0,2.35,133.0,21768.0,145000000.0,7.4
145000000.0,616102924.0,2014.0,2.35,102.0,23378.0,145000000.0,7.9
145000000.0,269806430.0,2014.0,1.85,92.0,5810.0,145000000.0,6.9
145000000.0,306900902.0,2012.0,1.85,97.0,20645.0,145000000.0,7.3
145000000.0,121671925.0,2005.0,2.35,124.0,13073.0,130000000.0,6.0
142000000.0,431942139.0,2002.0,2.35,133.0,2538.0,142000000.0,6.1
140000000.0,385680446.0,2009.0,2.35,127.0,39284.0,150000000.0,8.0
140000000.0,554600000.0,1998.0,2.35,153.0,26029.0,140000000.0,6.6
140000000.0,370569776.0,2011.0,2.35,124.0,19761.0,140000000.0,6.9
140000000.0,518628619.0,2016.0,2.35,95.0,36095.0,145000000.0,7.2
140000000.0,375740705.0,2013.0,2.35,122.0,31958.0,130000000.0,5.8
140000000.0,456810575.0,2003.0,2.35,154.0,11945.0,140000000.0,7.7
140000000.0,203018919.0,2005.0,2.35,90.0,1997.0,100000000.0,6.1
140000000.0,268314513.0,2014.0,2.35,150.0,26490.0,140000000.0,6.1
140000000.0,268314513.0,2014.0,2.35,150.0,26489.0,140000000.0,6.1
140000000.0,118515678.0,2016.0,2.35,117.0,1950.0,140000000.0,6.8
140000000.0,133553464.0,2016.0,2.35,126.0,19769.0,140000000.0,5.5
139000000.0,821706375.0,2002.0,1.85,121.0,40484.0,139000000.0,7.3
138000000.0,184068357.0,2009.0,2.35,215.0,2530.0,130000000.0,7.7
138000000.0,76416746.0,2005.0,2.35,121.0,2705.0,135000000.0,5.0
137500000.0,263417913.0,2008.0,2.35,135.0,5811.0,150000000.0,6.8
137000000.0,245229234.0,2003.0,1.85,138.0,1814.0,137000000.0,5.7
137000000.0,85131830.0,2001.0,1.85,106.0,15015.0,137000000.0,6.4
135000000.0,573068425.0,2013.0,2.35,98.0,43286.0,135000000.0,7.3
135000000.0,532037894.0,2015.0,2.35,156.0,57108.0,135000000.0,8.1
135000000.0,361730660.0,1999.0,2.35,128.0,2037.0,135000000.0,6.4
135000000.0,245504574.0,2011.0,2.35,107.0,43291.0,135000000.0,7.2
